,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM
27,7.331,8.55,3.67,14.65,-1.83,4.89,-6.72,-9.16,3.05,3.67,0.61,6.11,-9.77,3.66,0,1.23,0.61,3.66,7.331,3.05,7.331,8.55,3.67,14.65,-1.83,4.89,-6.72,-9.16,3.05,3.67,0.61,6.11,-9.77,3.66,0,1.23,0.61,3.66,7.331,3.05
28,7.941,9.16,5.5,17.1,-1.22,6.72,-5.5,-7.94,3.66,4.28,1.22,7.33,-9.77,4.88,0,1.84,0.61,4.27,7.941,3.66,7.941,9.16,5.5,17.1,-1.22,6.72,-5.5,-7.94,3.66,4.28,1.22,7.33,-9.77,4.88,0,1.84,0.61,4.27,7.941,3.66
29,7.941,10.38,7.33,18.32,0,9.16,-6.11,-7.94,4.27,4.89,1.22,9.16,-8.55,6.1,0.61,1.84,1.22,6.1,7.941,4.27,7.941,10.38,7.33,18.32,0,9.16,-6.11,-7.94,4.27,4.89,1.22,9.16,-8.55,6.1,0.61,1.84,1.22,6.1,7.941,4.27
30,9.771,10.99,8.55,20.76,0.61,10.99,-4.89,-7.33,4.88,5.5,1.22,10.38,-7.94,6.71,1.83,2.45,1.22,6.71,9.771,4.88,9.771,10.99,8.55,20.76,0.61,10.99,-4.89,-7.33,4.88,5.5,1.22,10.38,-7.94,6.71,1.83,2.45,1.22,6.71,9.771,4.88
31,10.381,10.99,10.38,21.98,1.22,13.44,-5.5,-6.72,6.1,6.11,2.44,11.61,-7.33,8.55,2.45,3.06,1.83,7.93,10.381,6.1,10.381,10.99,10.38,21.98,1.22,13.44,-5.5,-6.72,6.1,6.11,2.44,11.61,-7.33,8.55,2.45,3.06,1.83,7.93,10.381,6.1
32,10.991,12.21,11.61,23.2,1.83,15.27,-4.89,-6.11,6.71,6.72,2.44,13.44,-6.71,10.38,3.67,3.67,2.44,9.16,10.991,6.71,10.991,12.21,11.61,23.2,1.83,15.27,-4.89,-6.11,6.71,6.72,2.44,13.44,-6.71,10.38,3.67,3.67,2.44,9.16,10.991,6.71
33,12.211,12.82,13.44,25.03,3.05,17.1,-4.28,-5.5,7.32,6.72,3.05,15.27,-4.27,12.21,4.28,4.89,2.44,10.38,12.211,7.32,12.211,12.82,13.44,25.03,3.05,17.1,-4.28,-5.5,7.32,6.72,3.05,15.27,-4.27,12.21,4.28,4.89,2.44,10.38,12.211,7.32
34,12.821,13.43,14.66,25.64,3.67,19.54,-3.66,-5.5,7.93,7.94,3.05,17.1,-2.44,14.65,5.5,4.89,2.44,12.21,12.821,7.93,12.821,13.43,14.66,25.64,3.67,19.54,-3.66,-5.5,7.93,7.94,3.05,17.1,-2.44,14.65,5.5,4.89,2.44,12.21,12.821,7.93
35,14.041,13.43,16.49,26.87,4.89,20.76,-3.66,-4.89,9.16,8.55,4.27,18.32,-0.61,17.71,6.72,6.11,3.67,12.82,14.041,9.16,14.041,13.43,16.49,26.87,4.89,20.76,-3.66,-4.89,9.16,8.55,4.27,18.32,-0.61,17.71,6.72,6.11,3.67,12.82,14.041,9.16
36,15.271,15.26,16.49,28.09,7.33,22.6,-3.05,-3.66,10.38,9.77,4.27,20.15,0,20.15,7.94,6.72,4.28,14.65,15.271,10.38,15.271,15.26,16.49,28.09,7.33,22.6,-3.05,-3.66,10.38,9.77,4.27,20.15,0,20.15,7.94,6.72,4.28,14.65,15.271,10.38
37,15.881,14.65,18.32,28.7,9.16,23.818,-3.05,-3.05,12.21,11,5.5,21.99,0.61,23.2,9.16,7.94,4.89,15.87,15.881,12.21,15.881,14.65,18.32,28.7,9.16,23.818,-3.05,-3.05,12.21,11,5.5,21.99,0.61,23.2,9.16,7.94,4.89,15.87,15.881,12.21
38,17.101,16.48,18.93,29.92,11.6,25.039,-2.44,-2.44,13.43,11.61,5.5,24.43,1.83,26.26,10.38,9.16,6.72,17.09,17.101,13.43,17.101,16.48,18.93,29.92,11.6,25.039,-2.44,-2.44,13.43,11.61,5.5,24.43,1.83,26.26,10.38,9.16,6.72,17.09,17.101,13.43
39,18.321,16.48,20.16,29.92,14.05,26.261,-2.44,-1.83,15.26,13.44,6.72,26.26,3.06,28.7,11.61,10.39,7.33,18.31,18.321,15.26,18.321,16.48,20.16,29.92,14.05,26.261,-2.44,-1.83,15.26,13.44,6.72,26.26,3.06,28.7,11.61,10.39,7.33,18.31,18.321,15.26
40,18.321,17.09,20.77,31.14,17.71,28.09,-1.83,-1.22,16.48,15.27,6.72,27.48,4.89,31.75,13.44,11,7.94,18.93,18.321,16.48,18.321,17.09,20.77,31.14,17.71,28.09,-1.83,-1.22,16.48,15.27,6.72,27.48,4.89,31.75,13.44,11,7.94,18.93,18.321,16.48
41,19.541,17.09,21.38,31.14,20.76,28.7,-1.22,0,18.93,17.1,7.33,29.92,6.11,34.8,14.66,12.22,9.16,19.54,19.541,18.93,19.541,17.09,21.38,31.14,20.76,28.7,-1.22,0,18.93,17.1,7.33,29.92,6.11,34.8,14.66,12.22,9.16,19.54,19.541,18.93
42,20.151,18.32,21.38,32.36,23.82,29.31,-1.22,1.22,20.15,19.55,8.55,31.76,7.94,36.64,16.49,13.44,10.38,20.15,20.151,20.15,20.151,18.32,21.38,32.36,23.82,29.31,-1.22,1.22,20.15,19.55,8.55,31.76,7.94,36.64,16.49,13.44,10.38,20.15,20.151,20.15
43,21.371,18.32,23.21,32.36,27.48,30.54,-0.61,1.83,21.98,21.99,9.16,33.589,9.77,38.47,17.71,15.27,11.6,21.37,21.371,21.98,21.371,18.32,23.21,32.36,27.48,30.54,-0.61,1.83,21.98,21.99,9.16,33.589,9.77,38.47,17.71,15.27,11.6,21.37,21.371,21.98
44,21.981,18.93,23.21,32.97,29.92,31.15,0,3.05,23.81,24.43,9.77,35.421,11.6,39.69,19.54,17.1,13.44,22.59,21.981,23.81,21.981,18.93,23.21,32.97,29.92,31.15,0,3.05,23.81,24.43,9.77,35.421,11.6,39.69,19.54,17.1,13.44,22.59,21.981,23.81
45,22.591,18.93,23.82,32.97,32.98,31.76,0.61,3.05,25.03,26.87,10.38,37.25,13.44,41.52,20.76,18.93,15.27,23.2,22.591,25.03,22.591,18.93,23.82,32.97,32.98,31.76,0.61,3.05,25.03,26.87,10.38,37.25,13.44,41.52,20.76,18.93,15.27,23.2,22.591,25.03
46,23.201,20.76,24.43,33.58,34.81,31.76,0.61,4.27,26.86,29.93,11.6,38.47,14.66,42.74,22.6,20.77,16.49,24.42,23.201,26.86,23.201,20.76,24.43,33.58,34.81,31.76,0.61,4.27,26.86,29.93,11.6,38.47,14.66,42.74,22.6,20.77,16.49,24.42,23.201,26.86
47,23.201,20.76,24.43,33.58,37.25,32.98,1.83,4.89,29.31,32.98,12.82,40.31,17.1,43.35,23.82,21.99,18.32,25.03,23.201,29.31,23.201,20.76,24.43,33.58,37.25,32.98,1.83,4.89,29.31,32.98,12.82,40.31,17.1,43.35,23.82,21.99,18.32,25.03,23.201,29.31
48,23.811,21.37,25.04,34.19,39.08,32.37,1.83,6.11,31.14,35.42,13.43,41.53,18.93,43.96,25.04,24.43,20.76,26.25,23.811,31.14,23.811,21.37,25.04,34.19,39.08,32.37,1.83,6.11,31.14,35.42,13.43,41.53,18.93,43.96,25.04,24.43,20.76,26.25,23.811,31.14
49,24.431,21.98,25.04,34.19,41.53,33.59,3.05,6.11,34.19,37.86,14.04,43.36,20.76,44.57,26.87,25.65,22.6,26.25,24.431,34.19,24.431,21.98,25.04,34.19,41.53,33.59,3.05,6.11,34.19,37.86,14.04,43.36,20.76,44.57,26.87,25.65,22.6,26.25,24.431,34.19
50,25.041,21.98,26.26,34.19,42.75,34.2,3.05,6.72,36.63,39.7,14.66,45.19,22.6,45.19,28.7,27.48,24.43,26.86,25.041,36.63,25.041,21.98,26.26,34.19,42.75,34.2,3.05,6.72,36.63,39.7,14.66,45.19,22.6,45.19,28.7,27.48,24.43,26.86,25.041,36.63
51,25.041,22.59,26.26,34.8,44.58,33.59,3.66,6.72,39.08,41.53,15.88,46.41,24.43,46.41,29.92,28.71,26.26,27.47,25.041,39.08,25.041,22.59,26.26,34.8,44.58,33.59,3.66,6.72,39.08,41.53,15.88,46.41,24.43,46.41,29.92,28.71,26.26,27.47,25.041,39.08
52,25.651,23.2,26.26,34.8,45.8,34.2,4.88,7.94,42.13,43.36,16.49,47.02,25.65,46.41,31.15,30.54,27.48,26.86,25.651,42.13,25.651,23.2,26.26,34.8,45.8,34.2,4.88,7.94,42.13,43.36,16.49,47.02,25.65,46.41,31.15,30.54,27.48,26.86,25.651,42.13
53,26.261,23.2,26.26,35.42,47.02,34.81,4.88,8.55,44.57,44.58,17.1,48.24,27.48,46.41,31.76,32.98,29.31,27.47,26.261,44.57,26.261,23.2,26.26,35.42,47.02,34.81,4.88,8.55,44.57,44.58,17.1,48.24,27.48,46.41,31.76,32.98,29.31,27.47,26.261,44.57
54,26.871,23.81,26.87,35.42,48.24,34.81,5.49,9.16,46.4,46.41,18.32,49.47,28.7,47.02,33.59,34.2,30.53,27.47,26.871,46.4,26.871,23.81,26.87,35.42,48.24,34.81,5.49,9.16,46.4,46.41,18.32,49.47,28.7,47.02,33.59,34.2,30.53,27.47,26.871,46.4
55,26.871,24.42,26.87,35.42,49.46,34.81,6.11,9.77,48.24,47.64,18.93,50.08,29.92,47.02,34.2,35.42,31.76,27.47,26.871,48.24,26.871,24.42,26.87,35.42,49.46,34.81,6.11,9.77,48.24,47.64,18.93,50.08,29.92,47.02,34.2,35.42,31.76,27.47,26.871,48.24
56,27.481,24.42,26.87,35.42,50.69,34.81,7.33,10.99,49.46,48.86,20.15,51.3,31.15,47.63,35.42,37.25,33.59,28.09,27.481,49.46,27.481,24.42,26.87,35.42,50.69,34.81,7.33,10.99,49.46,48.86,20.15,51.3,31.15,47.63,35.42,37.25,33.59,28.09,27.481,49.46
57,27.481,24.42,26.87,36.03,51.91,34.81,7.33,11.6,50.68,50.69,20.76,52.52,32.37,47.63,36.64,38.48,34.81,28.09,27.481,50.68,27.481,24.42,26.87,36.03,51.91,34.81,7.33,11.6,50.68,50.69,20.76,52.52,32.37,47.63,36.64,38.48,34.81,28.09,27.481,50.68
58,28.091,25.03,27.48,36.03,52.52,35.42,7.94,11.6,51.29,51.3,21.37,53.74,34.2,48.24,37.86,39.09,36.03,28.09,28.091,51.29,28.091,25.03,27.48,36.03,52.52,35.42,7.94,11.6,51.29,51.3,21.37,53.74,34.2,48.24,37.86,39.09,36.03,28.09,28.091,51.29
59,28.701,25.03,27.48,36.03,53.739,36.03,8.55,12.82,51.29,53.13,22.59,54.35,35.42,48.24,39.08,40.92,37.25,28.09,28.701,51.29,28.701,25.03,27.48,36.03,53.739,36.03,8.55,12.82,51.29,53.13,22.59,54.35,35.42,48.24,39.08,40.92,37.25,28.09,28.701,51.29
60,28.701,25.64,28.09,36.03,54.349,36.03,9.77,14.04,52.51,54.35,23.82,55.57,36.64,48.85,39.7,41.53,38.47,28.7,28.701,52.51,28.701,25.64,28.09,36.03,54.349,36.03,9.77,14.04,52.51,54.35,23.82,55.57,36.64,48.85,39.7,41.53,38.47,28.7,28.701,52.51
61,28.701,25.64,27.48,36.03,54.96,36.03,9.77,14.66,51.9,55.57,23.82,56.18,38.47,48.24,40.31,42.14,39.08,28.7,28.701,51.9,28.701,25.64,27.48,36.03,54.96,36.03,9.77,14.66,51.9,55.57,23.82,56.18,38.47,48.24,40.31,42.14,39.08,28.7,28.701,51.9
62,29.311,26.25,28.09,36.64,56.181,36.03,10.38,15.27,51.9,56.79,24.43,56.79,39.69,48.85,40.92,42.75,39.69,29.31,29.311,51.9,29.311,26.25,28.09,36.64,56.181,36.03,10.38,15.27,51.9,56.79,24.43,56.79,39.69,48.85,40.92,42.75,39.69,29.31,29.311,51.9
63,28.701,26.87,28.7,36.64,56.792,36.03,11.6,15.88,51.29,57.41,25.04,57.4,40.92,49.46,42.14,43.97,40.3,28.7,28.701,51.29,28.701,26.87,28.7,36.64,56.792,36.03,11.6,15.88,51.29,57.41,25.04,57.4,40.92,49.46,42.14,43.97,40.3,28.7,28.701,51.29
64,29.311,26.87,28.09,37.25,57.4,36.03,11.6,16.49,51.29,58.63,26.26,58.63,41.53,50.07,42.14,43.97,40.92,29.92,29.311,51.29,29.311,26.87,28.09,37.25,57.4,36.03,11.6,16.49,51.29,58.63,26.26,58.63,41.53,50.07,42.14,43.97,40.92,29.92,29.311,51.29
65,28.701,26.87,28.7,36.64,57.4,36.64,13.43,17.1,51.29,59.848,26.87,59.24,42.75,50.07,43.36,44.58,42.14,29.31,28.701,51.29,28.701,26.87,28.7,36.64,57.4,36.64,13.43,17.1,51.29,59.848,26.87,59.24,42.75,50.07,43.36,44.58,42.14,29.31,28.701,51.29
66,28.701,27.48,28.7,37.25,58.62,36.64,14.04,17.71,50.68,60.459,26.87,59.85,42.75,50.07,43.97,45.19,42.14,29.31,28.701,50.68,28.701,27.48,28.7,37.25,58.62,36.64,14.04,17.71,50.68,60.459,26.87,59.85,42.75,50.07,43.97,45.19,42.14,29.31,28.701,50.68
67,29.921,27.48,29.31,37.25,59.23,36.03,14.04,18.32,50.68,61.069,27.48,60.46,43.97,50.68,44.58,45.19,43.36,29.31,29.921,50.68,29.921,27.48,29.31,37.25,59.23,36.03,14.04,18.32,50.68,61.069,27.48,60.46,43.97,50.68,44.58,45.19,43.36,29.31,29.921,50.68
68,29.311,27.48,29.31,36.64,59.85,36.64,15.27,18.32,50.68,61.68,27.48,61.07,44.58,50.07,45.19,46.41,43.97,29.92,29.311,50.68,29.311,27.48,29.31,36.64,59.85,36.64,15.27,18.32,50.68,61.68,27.48,61.07,44.58,50.07,45.19,46.41,43.97,29.92,29.311,50.68
69,29.311,27.48,28.7,36.64,59.85,36.64,15.27,18.93,49.46,62.291,28.7,61.68,45.8,51.29,45.19,46.41,44.58,29.31,29.311,49.46,29.311,27.48,28.7,36.64,59.85,36.64,15.27,18.93,49.46,62.291,28.7,61.68,45.8,51.29,45.19,46.41,44.58,29.31,29.311,49.46
70,29.921,27.48,29.31,36.64,61.07,37.25,16.49,20.15,49.46,62.291,29.31,61.68,46.41,50.68,45.8,47.02,44.58,29.92,29.921,49.46,29.921,27.48,29.31,36.64,61.07,37.25,16.49,20.15,49.46,62.291,29.31,61.68,46.41,50.68,45.8,47.02,44.58,29.92,29.921,49.46
71,30.531,28.09,29.31,37.25,61.07,37.25,17.71,20.76,49.46,62.901,29.92,62.29,47.02,50.68,45.8,47.64,45.19,29.92,30.531,49.46,30.531,28.09,29.31,37.25,61.07,37.25,17.71,20.76,49.46,62.901,29.92,62.29,47.02,50.68,45.8,47.64,45.19,29.92,30.531,49.46
72,30.531,27.48,29.93,36.64,61.68,37.25,18.32,20.76,48.85,62.901,29.92,63.51,48.24,51.9,47.02,48.86,45.8,29.92,30.531,48.85,30.531,27.48,29.93,36.64,61.68,37.25,18.32,20.76,48.85,62.901,29.92,63.51,48.24,51.9,47.02,48.86,45.8,29.92,30.531,48.85
73,29.921,28.09,29.93,36.64,61.68,37.86,18.93,20.76,48.24,62.901,29.92,63.51,48.85,51.29,47.63,48.86,46.41,30.53,29.921,48.24,29.921,28.09,29.93,36.64,61.68,37.86,18.93,20.76,48.24,62.901,29.92,63.51,48.85,51.29,47.63,48.86,46.41,30.53,29.921,48.24
74,29.921,28.09,29.93,36.64,62.29,37.25,19.54,21.37,48.24,62.901,31.14,63.51,48.85,51.9,47.63,49.47,47.02,31.14,29.921,48.24,29.921,28.09,29.93,36.64,62.29,37.25,19.54,21.37,48.24,62.901,31.14,63.51,48.85,51.9,47.63,49.47,47.02,31.14,29.921,48.24
75,29.921,27.48,29.93,36.64,62.9,37.25,20.76,21.98,48.24,62.901,31.14,64.73,50.08,51.29,47.63,49.47,48.24,31.14,29.921,48.24,29.921,27.48,29.93,36.64,62.9,37.25,20.76,21.98,48.24,62.901,31.14,64.73,50.08,51.29,47.63,49.47,48.24,31.14,29.921,48.24
76,29.921,28.09,29.93,37.25,62.9,37.25,21.37,23.2,47.63,62.901,31.14,64.73,51.3,51.9,48.24,50.08,48.24,30.53,29.921,47.63,29.921,28.09,29.93,37.25,62.9,37.25,21.37,23.2,47.63,62.901,31.14,64.73,51.3,51.9,48.24,50.08,48.24,30.53,29.921,47.63
77,29.921,27.48,30.54,37.25,63.51,37.25,21.98,22.59,47.63,62.901,31.75,65.34,51.3,51.9,48.85,50.08,48.85,30.53,29.921,47.63,29.921,27.48,30.54,37.25,63.51,37.25,21.98,22.59,47.63,62.901,31.75,65.34,51.3,51.9,48.85,50.08,48.85,30.53,29.921,47.63
