,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM,0mM
558,-1.221,6.71,18.32,-7.33,1.83,14.66,12.21,14.66,9.77,4.28,4.27,-2.44,4.28,-4.89,3.67,3.67,2.44,12.82,-1.221,9.77,-1.221,6.71,18.32,-7.33,1.83,14.66,12.21,14.66,9.77,4.28,4.27,-2.44,4.28,-4.89,3.67,3.67,2.44,12.82,-1.221,9.77
559,-1.221,6.71,17.71,-7.33,1.83,14.66,11.6,14.66,9.77,4.28,4.89,-2.44,4.89,-5.5,3.67,3.67,2.44,13.43,-1.221,9.77,-1.221,6.71,17.71,-7.33,1.83,14.66,11.6,14.66,9.77,4.28,4.89,-2.44,4.89,-5.5,3.67,3.67,2.44,13.43,-1.221,9.77
560,-0.61,7.32,17.1,-6.72,1.83,14.05,10.99,14.04,9.16,3.67,4.89,-3.05,4.89,-4.89,3.67,3.06,1.83,13.43,-0.61,9.16,-0.61,7.32,17.1,-6.72,1.83,14.05,10.99,14.04,9.16,3.67,4.89,-3.05,4.89,-4.89,3.67,3.06,1.83,13.43,-0.61,9.16
561,-0.61,7.32,17.1,-6.72,2.44,13.44,11.6,14.66,9.16,4.28,4.89,-2.44,5.5,-4.89,3.67,3.06,1.83,13.43,-0.61,9.16,-0.61,7.32,17.1,-6.72,2.44,13.44,11.6,14.66,9.16,4.28,4.89,-2.44,5.5,-4.89,3.67,3.06,1.83,13.43,-0.61,9.16
562,-1.221,7.32,17.1,-6.72,2.44,12.83,10.99,14.66,9.16,3.67,4.89,-3.05,5.5,-6.11,3.67,3.06,1.83,13.43,-1.221,9.16,-1.221,7.32,17.1,-6.72,2.44,12.83,10.99,14.66,9.16,3.67,4.89,-3.05,5.5,-6.11,3.67,3.06,1.83,13.43,-1.221,9.16
563,-0.61,7.94,16.49,-6.72,1.83,13.44,10.99,14.66,8.54,4.28,4.27,-3.66,5.5,-5.5,3.67,3.06,1.83,13.43,-0.61,8.54,-0.61,7.94,16.49,-6.72,1.83,13.44,10.99,14.66,8.54,4.28,4.27,-3.66,5.5,-5.5,3.67,3.06,1.83,13.43,-0.61,8.54
564,0,7.94,15.88,-6.72,2.44,12.83,10.38,14.66,9.16,4.28,4.89,-3.05,4.89,-5.5,3.67,3.06,1.83,13.43,0,9.16,0,7.94,15.88,-6.72,2.44,12.83,10.38,14.66,9.16,4.28,4.89,-3.05,4.89,-5.5,3.67,3.06,1.83,13.43,0,9.16
565,-0.61,7.32,16.49,-7.33,1.83,12.83,10.99,14.66,8.54,4.28,4.27,-3.66,5.5,-5.5,3.67,3.06,1.83,13.43,-0.61,8.54,-0.61,7.32,16.49,-7.33,1.83,12.83,10.99,14.66,8.54,4.28,4.27,-3.66,5.5,-5.5,3.67,3.06,1.83,13.43,-0.61,8.54
566,0,6.71,15.88,-6.72,1.83,12.22,10.38,14.66,8.54,4.28,4.89,-3.66,6.11,-5.5,3.06,2.45,1.83,12.82,0,8.54,0,6.71,15.88,-6.72,1.83,12.22,10.38,14.66,8.54,4.28,4.89,-3.66,6.11,-5.5,3.06,2.45,1.83,12.82,0,8.54
567,-0.61,7.32,15.88,-7.33,2.44,12.22,10.99,14.66,8.54,3.67,4.27,-4.88,5.5,-4.89,3.67,2.45,1.83,13.43,-0.61,8.54,-0.61,7.32,15.88,-7.33,2.44,12.22,10.99,14.66,8.54,3.67,4.27,-4.88,5.5,-4.89,3.67,2.45,1.83,13.43,-0.61,8.54
568,-0.61,7.94,15.27,-7.33,2.44,12.22,10.38,15.27,9.16,4.28,4.89,-3.66,4.28,-4.89,3.67,2.45,1.83,14.04,-0.61,9.16,-0.61,7.94,15.27,-7.33,2.44,12.22,10.38,15.27,9.16,4.28,4.89,-3.66,4.28,-4.89,3.67,2.45,1.83,14.04,-0.61,9.16
569,0,7.94,15.27,-7.33,2.44,12.22,10.38,15.27,8.54,4.28,4.89,-3.66,4.28,-6.11,3.67,2.45,1.83,13.43,0,8.54,0,7.94,15.27,-7.33,2.44,12.22,10.38,15.27,8.54,4.28,4.89,-3.66,4.28,-6.11,3.67,2.45,1.83,13.43,0,8.54
570,0,7.32,14.66,-7.33,2.44,11.61,10.38,14.66,8.54,4.28,4.27,-3.66,3.67,-4.89,3.67,2.45,1.22,14.04,0,8.54,0,7.32,14.66,-7.33,2.44,11.61,10.38,14.66,8.54,4.28,4.27,-3.66,3.67,-4.89,3.67,2.45,1.22,14.04,0,8.54
571,-0.61,7.32,14.66,-7.94,2.44,11.61,10.38,14.04,7.93,3.67,4.89,-3.66,3.06,-4.89,3.06,1.84,1.83,13.43,-0.61,7.93,-0.61,7.32,14.66,-7.94,2.44,11.61,10.38,14.04,7.93,3.67,4.89,-3.66,3.06,-4.89,3.06,1.84,1.83,13.43,-0.61,7.93
572,-0.61,6.71,14.05,-7.94,2.44,11.61,10.38,14.66,8.54,4.28,4.89,-3.66,3.67,-4.89,3.67,1.84,1.83,14.04,-0.61,8.54,-0.61,6.71,14.05,-7.94,2.44,11.61,10.38,14.66,8.54,4.28,4.89,-3.66,3.67,-4.89,3.67,1.84,1.83,14.04,-0.61,8.54
573,0,7.32,14.05,-7.33,3.05,10.99,10.38,14.04,8.54,4.28,4.89,-3.66,3.06,-5.5,3.67,1.84,1.83,14.65,0,8.54,0,7.32,14.05,-7.33,3.05,10.99,10.38,14.04,8.54,4.28,4.89,-3.66,3.06,-5.5,3.67,1.84,1.83,14.65,0,8.54
574,0,6.71,13.44,-7.94,3.05,10.99,10.38,14.04,7.93,4.28,4.27,-3.66,3.67,-4.89,3.67,1.84,1.22,14.04,0,7.93,0,6.71,13.44,-7.94,3.05,10.99,10.38,14.04,7.93,4.28,4.27,-3.66,3.67,-4.89,3.67,1.84,1.22,14.04,0,7.93
575,-0.61,7.94,13.44,-7.33,2.44,10.99,9.77,13.43,8.54,3.67,4.27,-3.05,2.45,-4.89,3.67,1.84,1.83,14.04,-0.61,8.54,-0.61,7.94,13.44,-7.33,2.44,10.99,9.77,13.43,8.54,3.67,4.27,-3.05,2.45,-4.89,3.67,1.84,1.83,14.04,-0.61,8.54
576,0,7.32,13.44,-7.33,2.44,10.99,10.38,14.04,8.54,4.28,4.27,-3.66,3.06,-4.28,3.06,1.84,1.83,14.04,0,8.54,0,7.32,13.44,-7.33,2.44,10.99,10.38,14.04,8.54,4.28,4.27,-3.66,3.06,-4.28,3.06,1.84,1.83,14.04,0,8.54
577,-0.61,7.94,12.83,-7.33,3.05,10.38,9.77,14.04,7.93,4.28,4.27,-3.66,2.45,-4.89,3.06,1.23,1.22,14.04,-0.61,7.93,-0.61,7.94,12.83,-7.33,3.05,10.38,9.77,14.04,7.93,4.28,4.27,-3.66,2.45,-4.89,3.06,1.23,1.22,14.04,-0.61,7.93
578,-0.61,7.32,12.83,-7.33,3.05,10.99,9.77,13.43,7.93,4.28,4.89,-3.66,2.45,-4.28,3.67,1.23,1.22,14.04,-0.61,7.93,-0.61,7.32,12.83,-7.33,3.05,10.99,9.77,13.43,7.93,4.28,4.89,-3.66,2.45,-4.28,3.67,1.23,1.22,14.04,-0.61,7.93
579,0,7.32,12.22,-7.94,3.05,10.38,9.77,13.43,7.93,4.28,4.89,-3.66,2.45,-4.28,3.06,1.23,1.83,14.65,0,7.93,0,7.32,12.22,-7.94,3.05,10.38,9.77,13.43,7.93,4.28,4.89,-3.66,2.45,-4.28,3.06,1.23,1.83,14.65,0,7.93
580,0,7.94,12.83,-7.33,3.05,10.38,9.77,13.43,7.32,4.28,4.27,-3.66,2.45,-4.28,3.67,1.23,1.22,14.04,0,7.32,0,7.94,12.83,-7.33,3.05,10.38,9.77,13.43,7.32,4.28,4.27,-3.66,2.45,-4.28,3.67,1.23,1.22,14.04,0,7.32
581,0,8.55,12.22,-7.33,3.05,9.16,9.77,14.04,7.93,4.28,4.89,-3.66,2.45,-4.28,3.06,1.23,1.83,14.65,0,7.93,0,8.55,12.22,-7.33,3.05,9.16,9.77,14.04,7.93,4.28,4.89,-3.66,2.45,-4.28,3.06,1.23,1.83,14.65,0,7.93
582,-0.61,7.94,11.61,-7.33,3.67,9.77,9.77,14.04,7.93,3.67,4.89,-3.66,1.83,-4.28,3.67,1.23,1.22,14.04,-0.61,7.93,-0.61,7.94,11.61,-7.33,3.67,9.77,9.77,14.04,7.93,3.67,4.89,-3.66,1.83,-4.28,3.67,1.23,1.22,14.04,-0.61,7.93
583,0.611,7.94,11.61,-6.72,3.05,9.77,9.16,13.43,7.32,3.67,4.89,-4.27,1.83,-4.28,3.06,1.23,1.83,14.65,0.611,7.32,0.611,7.94,11.61,-6.72,3.05,9.77,9.16,13.43,7.32,3.67,4.89,-4.27,1.83,-4.28,3.06,1.23,1.83,14.65,0.611,7.32
584,0.611,8.55,11,-6.72,3.67,9.16,9.16,13.43,7.93,3.67,4.89,-3.66,1.83,-4.28,3.06,1.23,1.22,14.04,0.611,7.93,0.611,8.55,11,-6.72,3.67,9.16,9.16,13.43,7.93,3.67,4.89,-3.66,1.83,-4.28,3.06,1.23,1.22,14.04,0.611,7.93
585,1.222,9.16,21.38,1.22,3.67,8.55,9.77,14.04,7.93,3.67,4.27,-3.66,2.45,-4.28,3.67,1.23,1.83,15.26,1.222,7.93,1.222,9.16,21.38,1.22,3.67,8.55,9.77,14.04,7.93,3.67,4.27,-3.66,2.45,-4.28,3.67,1.23,1.83,15.26,1.222,7.93
586,1.222,8.55,19.54,7.33,3.05,8.55,9.16,14.04,7.32,4.28,4.27,-3.66,1.83,-4.28,3.06,0.62,1.22,15.26,1.222,7.32,1.222,8.55,19.54,7.33,3.05,8.55,9.16,14.04,7.32,4.28,4.27,-3.66,1.83,-4.28,3.06,0.62,1.22,15.26,1.222,7.32
587,0.611,8.55,14.66,6.1,3.67,8.55,9.16,14.04,7.32,4.28,4.27,-3.66,2.45,-4.28,3.06,0.62,1.22,14.65,0.611,7.32,0.611,8.55,14.66,6.1,3.67,8.55,9.16,14.04,7.32,4.28,4.27,-3.66,2.45,-4.28,3.06,0.62,1.22,14.65,0.611,7.32
588,0,7.94,11,4.27,3.05,8.55,9.16,14.04,7.32,4.28,4.89,-4.27,3.06,-4.28,3.67,0.62,1.22,14.04,0,7.32,0,7.94,11,4.27,3.05,8.55,9.16,14.04,7.32,4.28,4.89,-4.27,3.06,-4.28,3.67,0.62,1.22,14.04,0,7.32
589,0,7.94,7.94,1.83,3.05,8.55,9.16,13.43,7.32,4.28,4.27,-4.27,2.45,-4.89,3.67,2.45,1.83,13.43,0,7.32,0,7.94,7.94,1.83,3.05,8.55,9.16,13.43,7.32,4.28,4.27,-4.27,2.45,-4.89,3.67,2.45,1.83,13.43,0,7.32
590,0,7.94,6.11,0.61,5.5,19.54,9.16,13.43,7.93,4.89,4.27,-3.05,2.45,-4.28,3.06,4.89,3.05,13.43,0,7.93,0,7.94,6.11,0.61,5.5,19.54,9.16,13.43,7.93,4.89,4.27,-3.05,2.45,-4.28,3.06,4.89,3.05,13.43,0,7.93
591,-0.61,7.32,3.67,0,4.28,18.32,9.16,14.04,10.38,7.94,3.05,0,4.89,-1.83,4.28,5.5,3.67,12.82,-0.61,10.38,-0.61,7.32,3.67,0,4.28,18.32,9.16,14.04,10.38,7.94,3.05,0,4.89,-1.83,4.28,5.5,3.67,12.82,-0.61,10.38
592,-1.221,7.32,1.84,-1.22,3.67,15.88,9.16,13.43,9.16,8.55,1.83,-0.61,4.89,-1.22,4.28,5.5,3.67,12.21,-1.221,9.16,-1.221,7.32,1.84,-1.22,3.67,15.88,9.16,13.43,9.16,8.55,1.83,-0.61,4.89,-1.22,4.28,5.5,3.67,12.21,-1.221,9.16
593,-1.221,6.71,0,-2.44,3.05,12.83,8.55,12.82,7.32,8.55,1.22,0,4.28,-1.83,3.67,5.5,3.67,11.6,-1.221,7.32,-1.221,6.71,0,-2.44,3.05,12.83,8.55,12.82,7.32,8.55,1.22,0,4.28,-1.83,3.67,5.5,3.67,11.6,-1.221,7.32
594,-1.221,7.32,-1.22,-2.44,1.83,10.99,6.72,10.99,6.1,7.94,0,-1.22,0.61,-3.67,2.45,4.89,3.05,10.99,-1.221,6.1,-1.221,7.32,-1.22,-2.44,1.83,10.99,6.72,10.99,6.1,7.94,0,-1.22,0.61,-3.67,2.45,4.89,3.05,10.99,-1.221,6.1
595,-1.829,8.55,-2.44,-3.67,1.83,8.55,5.49,9.16,5.49,7.94,0,-2.44,-1.83,-4.28,2.45,4.28,3.05,10.99,-1.829,5.49,-1.829,8.55,-2.44,-3.67,1.83,8.55,5.49,9.16,5.49,7.94,0,-2.44,-1.83,-4.28,2.45,4.28,3.05,10.99,-1.829,5.49
596,-1.221,8.55,-3.05,-3.67,1.22,6.72,4.27,7.94,5.49,7.33,0,-2.44,-4.27,-6.72,1.22,3.67,2.44,10.99,-1.221,5.49,-1.221,8.55,-3.05,-3.67,1.22,6.72,4.27,7.94,5.49,7.33,0,-2.44,-4.27,-6.72,1.22,3.67,2.44,10.99,-1.221,5.49
597,-1.829,9.16,-4.27,-3.67,0.61,6.11,3.05,6.72,4.88,6.72,0,-3.05,-5.49,-7.33,0.61,3.06,2.44,10.99,-1.829,4.88,-1.829,9.16,-4.27,-3.67,0.61,6.11,3.05,6.72,4.88,6.72,0,-3.05,-5.49,-7.33,0.61,3.06,2.44,10.99,-1.829,4.88
598,-1.221,9.16,-3.66,-3.06,0,4.89,1.83,5.5,4.88,6.72,-0.61,-4.27,-7.33,-7.94,0,2.45,1.83,10.38,-1.221,4.88,-1.221,9.16,-3.66,-3.06,0,4.89,1.83,5.5,4.88,6.72,-0.61,-4.27,-7.33,-7.94,0,2.45,1.83,10.38,-1.221,4.88
599,-1.221,10.38,-3.66,-3.06,-0.61,3.67,0.61,4.89,4.88,6.11,0,-4.27,-7.94,-8.55,0,2.45,1.83,10.99,-1.221,4.88,-1.221,10.38,-3.66,-3.06,-0.61,3.67,0.61,4.89,4.88,6.11,0,-4.27,-7.94,-8.55,0,2.45,1.83,10.99,-1.221,4.88
600,-1.221,10.38,-3.66,-2.44,-0.61,2.45,0,4.27,4.27,6.11,0,-4.88,-9.16,-8.55,-0.61,2.45,1.83,11.6,-1.221,4.27,-1.221,10.38,-3.66,-2.44,-0.61,2.45,0,4.27,4.27,6.11,0,-4.88,-9.16,-8.55,-0.61,2.45,1.83,11.6,-1.221,4.27
601,-0.61,10.99,-2.44,-1.22,-1.22,2.45,0,3.66,4.27,6.11,0,-4.27,-9.77,-8.55,-0.61,2.45,1.83,11.6,-0.61,4.27,-0.61,10.99,-2.44,-1.22,-1.22,2.45,0,3.66,4.27,6.11,0,-4.27,-9.77,-8.55,-0.61,2.45,1.83,11.6,-0.61,4.27
602,-0.61,10.99,-2.44,-1.22,-1.22,1.83,0,2.44,4.88,5.5,0,-4.88,-10.38,-9.16,-0.61,2.45,1.83,12.21,-0.61,4.88,-0.61,10.99,-2.44,-1.22,-1.22,1.83,0,2.44,4.88,5.5,0,-4.88,-10.38,-9.16,-0.61,2.45,1.83,12.21,-0.61,4.88
603,-0.61,10.99,-1.22,0,-1.22,1.83,-1.22,1.83,4.88,5.5,0.61,-4.88,-10.38,-9.16,-0.61,3.06,2.44,12.82,-0.61,4.88,-0.61,10.99,-1.22,0,-1.22,1.83,-1.22,1.83,4.88,5.5,0.61,-4.88,-10.38,-9.16,-0.61,3.06,2.44,12.82,-0.61,4.88
604,0,11.6,0,0.61,-1.22,2.45,-1.22,1.83,4.88,5.5,0.61,-4.88,-10.38,-9.16,-0.61,3.06,1.83,14.04,0,4.88,0,11.6,0,0.61,-1.22,2.45,-1.22,1.83,4.88,5.5,0.61,-4.88,-10.38,-9.16,-0.61,3.06,1.83,14.04,0,4.88
605,0.611,11.6,1.22,2.44,-1.22,2.45,-1.22,1.83,5.49,6.11,0.61,-3.66,-10.38,-9.16,-0.61,3.06,1.83,14.04,0.611,5.49,0.611,11.6,1.22,2.44,-1.22,2.45,-1.22,1.83,5.49,6.11,0.61,-3.66,-10.38,-9.16,-0.61,3.06,1.83,14.04,0.611,5.49
606,1.222,11.6,3.06,4.27,-1.22,3.06,-1.22,1.22,6.1,5.5,0.61,-3.66,-10.38,-8.55,-0.61,3.06,2.44,14.65,1.222,6.1,1.222,11.6,3.06,4.27,-1.22,3.06,-1.22,1.22,6.1,5.5,0.61,-3.66,-10.38,-8.55,-0.61,3.06,2.44,14.65,1.222,6.1
607,1.222,12.21,4.89,6.1,-0.61,3.67,-1.22,1.22,6.1,6.11,1.83,-3.66,-9.77,-7.33,0,3.06,1.83,14.65,1.222,6.1,1.222,12.21,4.89,6.1,-0.61,3.67,-1.22,1.22,6.1,6.11,1.83,-3.66,-9.77,-7.33,0,3.06,1.83,14.65,1.222,6.1
608,1.832,12.21,6.72,7.94,-0.61,5.5,-1.22,1.83,7.32,6.11,1.83,-3.05,-9.16,-7.33,0,3.67,2.44,15.26,1.832,7.32,1.832,12.21,6.72,7.94,-0.61,5.5,-1.22,1.83,7.32,6.11,1.83,-3.05,-9.16,-7.33,0,3.67,2.44,15.26,1.832,7.32
609,3.051,13.43,7.94,10.379,-0.61,6.72,-1.22,1.83,7.32,6.72,2.44,-2.44,-9.16,-7.33,1.22,3.67,2.44,15.87,3.051,7.32,3.051,13.43,7.94,10.379,-0.61,6.72,-1.22,1.83,7.32,6.72,2.44,-2.44,-9.16,-7.33,1.22,3.67,2.44,15.87,3.051,7.32
610,3.661,14.04,9.77,12.211,-0.61,8.55,-1.22,1.83,7.32,6.72,2.44,-1.22,-8.55,-6.72,1.22,3.67,2.44,17.09,3.661,7.32,3.661,14.04,9.77,12.211,-0.61,8.55,-1.22,1.83,7.32,6.72,2.44,-1.22,-8.55,-6.72,1.22,3.67,2.44,17.09,3.661,7.32
611,4.271,14.65,11.61,15.26,0.61,9.77,-0.61,2.44,8.54,6.72,3.05,-1.22,-7.33,-6.11,1.83,4.28,1.83,17.7,4.271,8.54,4.271,14.65,11.61,15.26,0.61,9.77,-0.61,2.44,8.54,6.72,3.05,-1.22,-7.33,-6.11,1.83,4.28,1.83,17.7,4.271,8.54
612,4.881,15.26,13.44,17.1,0,11.61,0,3.66,9.16,7.33,3.66,-0.61,-7.33,-5.5,1.83,4.28,2.44,18.31,4.881,9.16,4.881,15.26,13.44,17.1,0,11.61,0,3.66,9.16,7.33,3.66,-0.61,-7.33,-5.5,1.83,4.28,2.44,18.31,4.881,9.16
613,6.111,16.48,15.88,19.54,0.61,14.05,0,4.27,9.77,7.94,4.27,0.61,-6.71,-4.89,3.06,4.89,2.44,19.54,6.111,9.77,6.111,16.48,15.88,19.54,0.61,14.05,0,4.27,9.77,7.94,4.27,0.61,-6.71,-4.89,3.06,4.89,2.44,19.54,6.111,9.77
614,6.721,16.48,17.1,21.37,0.61,15.88,0.61,5.5,9.77,7.94,4.27,1.22,-5.49,-3.67,3.67,5.5,3.05,20.76,6.721,9.77,6.721,16.48,17.1,21.37,0.61,15.88,0.61,5.5,9.77,7.94,4.27,1.22,-5.49,-3.67,3.67,5.5,3.05,20.76,6.721,9.77
615,7.331,17.71,18.93,23.81,1.83,17.71,0.61,5.5,10.99,8.55,4.89,2.45,-4.27,-2.45,4.28,6.11,3.05,21.98,7.331,10.99,7.331,17.71,18.93,23.81,1.83,17.71,0.61,5.5,10.99,8.55,4.89,2.45,-4.27,-2.45,4.28,6.11,3.05,21.98,7.331,10.99
616,7.941,18.32,19.54,25.64,2.44,20.15,1.22,6.72,11.6,9.16,4.89,3.67,-3.66,-1.83,4.89,6.11,3.05,23.2,7.941,11.6,7.941,18.32,19.54,25.64,2.44,20.15,1.22,6.72,11.6,9.16,4.89,3.67,-3.66,-1.83,4.89,6.11,3.05,23.2,7.941,11.6
617,9.161,18.93,21.38,27.48,3.05,21.99,1.22,7.33,12.82,9.16,6.11,4.89,-2.44,-0.61,6.11,7.33,3.67,24.42,9.161,12.82,9.161,18.93,21.38,27.48,3.05,21.99,1.22,7.33,12.82,9.16,6.11,4.89,-2.44,-0.61,6.11,7.33,3.67,24.42,9.161,12.82
618,10.381,18.93,22.6,28.7,4.28,24.429,1.83,8.55,13.43,9.77,6.72,6.11,-1.22,1.22,6.72,7.94,4.28,26.25,10.381,13.43,10.381,18.93,22.6,28.7,4.28,24.429,1.83,8.55,13.43,9.77,6.72,6.11,-1.22,1.22,6.72,7.94,4.28,26.25,10.381,13.43
619,11.601,20.15,23.82,29.31,4.89,26.261,2.44,9.16,14.04,9.77,6.72,7.33,0,3.05,7.94,8.55,4.89,27.47,11.601,14.04,11.601,20.15,23.82,29.31,4.89,26.261,2.44,9.16,14.04,9.77,6.72,7.33,0,3.05,7.94,8.55,4.89,27.47,11.601,14.04
620,12.211,20.15,25.04,31.14,5.5,28.09,3.05,10.38,15.26,11.61,7.94,8.55,1.22,4.88,8.55,9.16,4.89,29.31,12.211,15.26,12.211,20.15,25.04,31.14,5.5,28.09,3.05,10.38,15.26,11.61,7.94,8.55,1.22,4.88,8.55,9.16,4.89,29.31,12.211,15.26
621,13.431,21.37,26.26,32.36,6.72,30.54,3.66,10.99,16.48,12.22,8.55,10.38,3.06,6.71,10.38,11,5.5,30.53,13.431,16.48,13.431,21.37,26.26,32.36,6.72,30.54,3.66,10.99,16.48,12.22,8.55,10.38,3.06,6.71,10.38,11,5.5,30.53,13.431,16.48
622,14.041,21.98,27.48,33.58,8.55,31.76,4.88,12.21,17.7,12.83,8.55,11.61,4.89,8.55,10.99,11.61,6.11,31.75,14.041,17.7,14.041,21.98,27.48,33.58,8.55,31.76,4.88,12.21,17.7,12.83,8.55,11.61,4.89,8.55,10.99,11.61,6.11,31.75,14.041,17.7
623,14.651,22.59,27.48,34.8,9.77,34.2,5.49,13.43,18.93,14.05,9.77,13.44,6.72,11.6,12.83,12.83,7.33,32.97,14.651,18.93,14.651,22.59,27.48,34.8,9.77,34.2,5.49,13.43,18.93,14.05,9.77,13.44,6.72,11.6,12.83,12.83,7.33,32.97,14.651,18.93
624,15.881,23.2,28.7,34.8,11.6,34.81,6.11,14.66,20.76,15.88,10.38,15.27,7.94,13.43,13.44,14.05,7.94,33.58,15.881,20.76,15.881,23.2,28.7,34.8,11.6,34.81,6.11,14.66,20.76,15.88,10.38,15.27,7.94,13.43,13.44,14.05,7.94,33.58,15.881,20.76
625,16.491,23.81,29.31,36.03,14.05,36.64,6.72,16.49,21.98,17.1,10.99,17.1,10.99,15.87,15.27,15.27,9.16,35.41,16.491,21.98,16.491,23.81,29.31,36.03,14.05,36.64,6.72,16.49,21.98,17.1,10.99,17.1,10.99,15.87,15.27,15.27,9.16,35.41,16.491,21.98
626,17.711,24.42,30.54,37.25,17.71,37.86,7.33,17.71,23.81,18.93,11.6,18.32,13.44,18.93,17.1,17.1,10.38,36.02,17.711,23.81,17.711,24.42,30.54,37.25,17.71,37.86,7.33,17.71,23.81,18.93,11.6,18.32,13.44,18.93,17.1,17.1,10.38,36.02,17.711,23.81
627,17.711,25.64,30.54,37.86,21.37,39.08,9.16,19.54,25.03,21.38,12.82,20.77,14.66,21.98,18.32,18.93,11.6,36.63,17.711,25.03,17.711,25.64,30.54,37.86,21.37,39.08,9.16,19.54,25.03,21.38,12.82,20.77,14.66,21.98,18.32,18.93,11.6,36.63,17.711,25.03
628,18.321,26.25,31.15,38.47,23.82,39.69,9.77,21.37,26.25,23.82,13.43,22.6,15.88,25.03,20.15,20.77,13.44,37.24,18.321,26.25,18.321,26.25,31.15,38.47,23.82,39.69,9.77,21.37,26.25,23.82,13.43,22.6,15.88,25.03,20.15,20.77,13.44,37.24,18.321,26.25
629,19.541,27.48,32.368,38.47,28.09,40.31,10.38,21.98,28.09,26.87,14.66,24.43,18.93,28.09,22.6,22.6,14.66,38.47,19.541,28.09,19.541,27.48,32.368,38.47,28.09,40.31,10.38,21.98,28.09,26.87,14.66,24.43,18.93,28.09,22.6,22.6,14.66,38.47,19.541,28.09
630,20.151,27.48,32.368,39.69,31.14,40.92,10.99,24.43,29.92,29.93,15.88,26.26,20.76,31.14,23.82,23.82,16.49,39.08,20.151,29.92,20.151,27.48,32.368,39.69,31.14,40.92,10.99,24.43,29.92,29.93,15.88,26.26,20.76,31.14,23.82,23.82,16.49,39.08,20.151,29.92
631,20.761,28.09,32.979,40.3,34.81,42.14,12.21,26.26,31.75,33.59,15.88,28.7,23.21,32.97,25.65,26.26,18.93,39.69,20.761,31.75,20.761,28.09,32.979,40.3,34.81,42.14,12.21,26.26,31.75,33.59,15.88,28.7,23.21,32.97,25.65,26.26,18.93,39.69,20.761,31.75
632,21.371,28.09,32.979,40.91,37.86,42.75,13.43,27.48,32.97,36.64,17.71,30.54,25.04,35.42,27.48,28.71,20.76,40.3,21.371,32.97,21.371,28.09,32.979,40.91,37.86,42.75,13.43,27.48,32.97,36.64,17.71,30.54,25.04,35.42,27.48,28.71,20.76,40.3,21.371,32.97
633,21.981,28.09,33.589,40.3,40.3,43.36,14.65,29.31,34.8,40.31,18.32,32.37,27.48,37.25,29.31,30.54,22.6,42.13,21.981,34.8,21.981,28.09,33.589,40.3,40.3,43.36,14.65,29.31,34.8,40.31,18.32,32.37,27.48,37.25,29.31,30.54,22.6,42.13,21.981,34.8
634,21.981,28.09,33.589,41.52,42.75,43.36,15.88,30.53,37.25,42.75,20.15,32.978,29.31,39.69,30.54,32.37,25.04,43.35,21.981,37.25,21.981,28.09,33.589,41.52,42.75,43.36,15.88,30.53,37.25,42.75,20.15,32.978,29.31,39.69,30.54,32.37,25.04,43.35,21.981,37.25
635,23.201,28.7,33.589,40.91,45.19,43.97,16.49,31.75,39.69,44.58,21.37,35.421,31.76,40.3,32.37,34.2,26.87,44.57,23.201,39.69,23.201,28.7,33.589,40.91,45.19,43.97,16.49,31.75,39.69,44.58,21.37,35.421,31.76,40.3,32.37,34.2,26.87,44.57,23.201,39.69
636,23.201,28.7,34.811,41.52,47.02,43.97,17.71,32.98,42.13,47.02,22.59,36.642,32.98,41.52,34.2,36.03,28.7,45.18,23.201,42.13,23.201,28.7,34.811,41.52,47.02,43.97,17.71,32.98,42.13,47.02,22.59,36.642,32.98,41.52,34.2,36.03,28.7,45.18,23.201,42.13
637,23.811,29.92,34.811,41.52,48.24,44.58,19.54,34.81,44.57,48.86,23.82,39.08,35.42,42.74,35.42,37.86,31.14,45.18,23.811,44.57,23.811,29.92,34.811,41.52,48.24,44.58,19.54,34.81,44.57,48.86,23.82,39.08,35.42,42.74,35.42,37.86,31.14,45.18,23.811,44.57
638,24.431,29.92,34.811,41.52,50.07,44.58,20.76,34.81,47.02,49.47,24.43,40.31,37.25,43.96,37.25,39.7,32.37,45.18,24.431,47.02,24.431,29.92,34.811,41.52,50.07,44.58,20.76,34.81,47.02,49.47,24.43,40.31,37.25,43.96,37.25,39.7,32.37,45.18,24.431,47.02
639,25.041,29.92,35.421,42.13,51.91,44.58,21.98,36.03,49.46,51.3,25.04,41.53,39.08,44.57,38.47,40.92,34.2,45.18,25.041,49.46,25.041,29.92,35.421,42.13,51.91,44.58,21.98,36.03,49.46,51.3,25.04,41.53,39.08,44.57,38.47,40.92,34.2,45.18,25.041,49.46
640,25.041,29.92,34.811,42.74,53.128,45.19,23.2,37.86,51.9,52.52,26.87,42.75,40.31,45.8,39.7,42.75,35.42,45.18,25.041,51.9,25.041,29.92,34.811,42.74,53.128,45.19,23.2,37.86,51.9,52.52,26.87,42.75,40.31,45.8,39.7,42.75,35.42,45.18,25.041,51.9
